web-scraper-order,web-scraper-start-url,vinregex,makemodel
"1541787448-72","https://www.cars.com/vehicledetail/detail/754190828/overview/","1C6SRFMT9KN719234","New 2019 RAM 1500 Big Horn"
"1541787454-75","https://www.cars.com/vehicledetail/detail/754190825/overview/","1C6SRFMT7KN719233","New 2019 RAM 1500 Big Horn"
"1541787544-118","https://www.cars.com/vehicledetail/detail/754190782/overview/","null","New 2017 GMC Yukon 2WD"
"1541787408-53","https://www.cars.com/vehicledetail/detail/754190847/overview/","null","Used 2001 Ford Taurus SES"
"1541787298-1","https://www.cars.com/vehicledetail/detail/754190899/overview/","3GCPCREC8JG182816","New 2018 Chevrolet Silverado 1500 1LT"
"1541787553-122","https://www.cars.com/vehicledetail/detail/754190778/overview/","null","New 2018 GMC Acadia Denali AWD"
"1541787530-111","https://www.cars.com/vehicledetail/detail/754190789/overview/","null","New 2017 GMC Yukon 4WD"
"1541787319-11","https://www.cars.com/vehicledetail/detail/754190889/overview/","WDCTG4EB8FJ137579","Used 2015 Mercedes-Benz GLA 250"
"1541787596-140","https://www.cars.com/vehicledetail/detail/754190760/overview/","3FAHP0JG6AR306847","Used 2010 Ford Fusion SEL"
"1541787317-10","https://www.cars.com/vehicledetail/detail/754190890/overview/","null","null"
"1541787321-12","https://www.cars.com/vehicledetail/detail/754190888/overview/","JTMZFREV5JJ208482","New 2018 Toyota RAV4 LE"
"1541787525-109","https://www.cars.com/vehicledetail/detail/754190791/overview/","null","New 2018 GMC Yukon 4WD"
"1541787375-38","https://www.cars.com/vehicledetail/detail/754190862/overview/","1GT42YEY1JF142462","New 2018 GMC Sierra 3500 4WD, Crew Cab"
"1541787429-63","https://www.cars.com/vehicledetail/detail/754190837/overview/","1GCRYDED1KZ171373","New 2019 Chevrolet Silverado 1500 LT"
"1541787551-121","https://www.cars.com/vehicledetail/detail/754190779/overview/","1FMEU73E08UB24473","Used 2008 Ford Explorer XLT"
"1541787555-123","https://www.cars.com/vehicledetail/detail/754190777/overview/","null","New 2018 GMC Acadia Denali AWD"
"1541787470-83","https://www.cars.com/vehicledetail/detail/754190817/overview/","1HGCV1F30KA002514","New 2019 Honda Sport"
"1541787352-27","https://www.cars.com/vehicledetail/detail/754190873/overview/","3GNAXSEV4JL169045","Used 2018 Chevrolet Equinox LT"
"1541787446-71","https://www.cars.com/vehicledetail/detail/754190829/overview/","null","New 2018 Toyota Yaris iA Base"
"1541787346-24","https://www.cars.com/vehicledetail/detail/754190876/overview/","5N1DR2MM6JC662631","Used 2018 Nissan Pathfinder SV"
"1541787439-68","https://www.cars.com/vehicledetail/detail/754190832/overview/","KL4CJASB5KB738036","New 2019 Buick Encore Preferred"
"1541787338-20","https://www.cars.com/vehicledetail/detail/754190880/overview/","null","New 2018 Chevrolet Impala LTZ"
"1541787506-100","https://www.cars.com/vehicledetail/detail/754190800/overview/","null","New 2017 GMC Yukon 4WD"
"1541787371-36","https://www.cars.com/vehicledetail/detail/754190864/overview/","null","New 2018 GMC Canyon SLT/Denali Crew Cab, Short Box"
"1541787521-107","https://www.cars.com/vehicledetail/detail/754190793/overview/","1GCHTBENXK1169546","New 2019 Chevrolet Colorado WT"
"1541787377-39","https://www.cars.com/vehicledetail/detail/754190861/overview/","JF1VA1A6XK9811840","New 2019 Subaru WRX Base"
"1541787348-25","https://www.cars.com/vehicledetail/detail/754190875/overview/","1G1ZC5E09CF237634","Used 2012 Chevrolet Malibu 1LT"
"1541787342-22","https://www.cars.com/vehicledetail/detail/754190878/overview/","null","null"
"1541787418-58","https://www.cars.com/vehicledetail/detail/754190842/overview/","null","New 2018 Chevrolet Traverse Premier FWD"
"1541787489-92","https://www.cars.com/vehicledetail/detail/754190808/overview/","null","New 2017 GMC Yukon 4WD"
"1541787315-9","https://www.cars.com/vehicledetail/detail/754190891/overview/","null","New 2018 Chevrolet Equinox PREMIER FWD"
"1541787340-21","https://www.cars.com/vehicledetail/detail/754190879/overview/","null","New 2018 Chevrolet Impala LS"
"1541787307-5","https://www.cars.com/vehicledetail/detail/754190895/overview/","null","New 2018 Chevrolet Equinox LT AWD"
"1541787443-70","https://www.cars.com/vehicledetail/detail/754190830/overview/","1GKKNMLS2HZ291496","New 2017 GMC Acadia SLT1 FWD"
"1541787594-139","https://www.cars.com/vehicledetail/detail/754190761/overview/","null","New 2018 GMC Acadia SLE1 AWD"
"1541787563-127","https://www.cars.com/vehicledetail/detail/754190773/overview/","null","New 2018 GMC Acadia Denali AWD"
"1541787427-62","https://www.cars.com/vehicledetail/detail/754190838/overview/","null","New 2017 GMC Yukon 4WD"
"1541787538-115","https://www.cars.com/vehicledetail/detail/754190785/overview/","3VW2K7AJ3FM232596","Used 2015 Volkswagen Jetta"
"1541787354-28","https://www.cars.com/vehicledetail/detail/754190872/overview/","2C4RC1BG0JR144363","Used 2018 Chrysler Pacifica Touring-L"
"1541787464-80","https://www.cars.com/vehicledetail/detail/754190820/overview/","2HGFC2F68KH503672","New 2019 Honda Civic LX"
"1541787390-45","https://www.cars.com/vehicledetail/detail/754190855/overview/","null","New 2018 Chevrolet Tahoe 2WD"
"1541787397-48","https://www.cars.com/vehicledetail/detail/754190852/overview/","null","New 2018 Chevrolet Suburban 2WD"
"1541787303-3","https://www.cars.com/vehicledetail/detail/754190897/overview/","null","Used 2011 Mercedes-Benz G 55 AMG 4MATIC"
"1541787592-138","https://www.cars.com/vehicledetail/detail/754190762/overview/","null","New 2019 Toyota Camry XSE"
"1541787466-81","https://www.cars.com/vehicledetail/detail/754190819/overview/","WAUC4AF44JA234765","New 2018 Audi S4 3.0T Prestige"
"1541787300-2","https://www.cars.com/vehicledetail/detail/754190898/overview/","1FMCU0D79CKA99978","Used 2012 Ford Escape XLT"
"1541787336-19","https://www.cars.com/vehicledetail/detail/754190881/overview/","null","New 2017 Buick Regal Sedan Turbo Premium II FWD"
"1541787435-66","https://www.cars.com/vehicledetail/detail/754190834/overview/","null","null"
"1541787518-106","https://www.cars.com/vehicledetail/detail/754190794/overview/","null","New 2017 GMC Yukon 4WD"
"1541787577-134","https://www.cars.com/vehicledetail/detail/754190766/overview/","null","Used 2001 BMW 525 525iAT"
"1541787410-54","https://www.cars.com/vehicledetail/detail/754190846/overview/","WP0CB2A99KS136070","New 2019 Porsche 911 Carrera S"
"1541787460-78","https://www.cars.com/vehicledetail/detail/754190822/overview/","1HGCV1F34JA263773","New 2018 Honda Accord Sport"
"1541787477-86","https://www.cars.com/vehicledetail/detail/754190814/overview/","1GAZG1FF8F1243846","Used 2015 Chevrolet Express 3500 LT"
"1541787305-4","https://www.cars.com/vehicledetail/detail/754190896/overview/","null","New 2017 Chevrolet Cruze LT 5 Door HB"
"1541787369-35","https://www.cars.com/vehicledetail/detail/754190865/overview/","55SWF4KB3GU127057","Certified 2016 Mercedes-Benz C 300"
"1541787313-8","https://www.cars.com/vehicledetail/detail/754190892/overview/","null","New 2018 Chevrolet Equinox LT AWD"
"1541787450-73","https://www.cars.com/vehicledetail/detail/754190827/overview/","1C6SRFFT1KN719225","New 2019 RAM 1500 Big Horn"
"1541787565-128","https://www.cars.com/vehicledetail/detail/754190772/overview/","KL4CJ2SB1KB749329","New 2019 Buick Encore Sport Touring"
"1541787523-108","https://www.cars.com/vehicledetail/detail/754190792/overview/","2GNAXKEVXK6176992","New 2019 Chevrolet Equinox LT"
"1541787561-126","https://www.cars.com/vehicledetail/detail/754190774/overview/","1N4AZ0CP1GC310224","Certified 2016 Nissan Leaf S"
"1541787604-141","https://www.cars.com/vehicledetail/detail/754190759/overview/","null","New 2018 Toyota RAV4 Hybrid LE"
"1541787491-93","https://www.cars.com/vehicledetail/detail/754190807/overview/","null","New 2017 GMC Yukon XL 4WD"
"1541787326-14","https://www.cars.com/vehicledetail/detail/754190886/overview/","null","New 2017 Buick Regal GS FWD"
"1541787388-44","https://www.cars.com/vehicledetail/detail/754190856/overview/","null","New 2018 Chevrolet Tahoe 4WD"
"1541787485-90","https://www.cars.com/vehicledetail/detail/754190810/overview/","null","New 2017 GMC Yukon XL 4WD"
"1541787364-33","https://www.cars.com/vehicledetail/detail/754190867/overview/","null","New 2017 GMC Sierra 1500 4WD, Double Cab Standard Box"
"1541787516-105","https://www.cars.com/vehicledetail/detail/754190795/overview/","null","New 2017 GMC Acadia FWD"
"1541787542-117","https://www.cars.com/vehicledetail/detail/754190783/overview/","KL7CJLSB9KB746302","New 2019 Chevrolet Trax LT"
"1541787475-85","https://www.cars.com/vehicledetail/detail/754190815/overview/","1C4RDHAG9DC564661","Used 2013 Dodge Durango SXT"
"1541787431-64","https://www.cars.com/vehicledetail/detail/754190836/overview/","null","New 2017 GMC Yukon XL 4WD"
"1541787510-102","https://www.cars.com/vehicledetail/detail/754190798/overview/","2GNALFEK0C1271729","Used 2012 Chevrolet Equinox LTZ"
"1541787559-125","https://www.cars.com/vehicledetail/detail/754190775/overview/","2GNAXKEVXK6172652","New 2019 Chevrolet Equinox 1LT"
"1541787504-99","https://www.cars.com/vehicledetail/detail/754190801/overview/","null","New 2017 GMC Yukon 4WD"
"1541787536-114","https://www.cars.com/vehicledetail/detail/754190786/overview/","null","New 2017 GMC Yukon 4WD"
"1541787582-136","https://www.cars.com/vehicledetail/detail/754190764/overview/","null","New 2019 Toyota Camry XSE"
"1541787309-6","https://www.cars.com/vehicledetail/detail/754190894/overview/","null","Used 2010 Honda Accord EX-L"
"1541787373-37","https://www.cars.com/vehicledetail/detail/754190863/overview/","null","New 2017 GMC Canyon SLE Crew Cab, Short Box"
"1541787394-47","https://www.cars.com/vehicledetail/detail/754190853/overview/","null","New 2017 Chevrolet Tahoe 2WD"
"1541787311-7","https://www.cars.com/vehicledetail/detail/754190893/overview/","null","Used 2014 GMC Yukon XL 1500 SLT"
"1541787437-67","https://www.cars.com/vehicledetail/detail/754190833/overview/","1GNERFKW2KJ180439","New 2019 Chevrolet Traverse LS"
"1541787334-18","https://www.cars.com/vehicledetail/detail/754190882/overview/","null","null"
"1541787500-97","https://www.cars.com/vehicledetail/detail/754190803/overview/","null","New 2017 GMC Yukon XL 4WD"
"1541787546-119","https://www.cars.com/vehicledetail/detail/754190781/overview/","null","New 2017 GMC Acadia Denali AWD"
"1541787414-56","https://www.cars.com/vehicledetail/detail/754190844/overview/","5J6RM3H55EL004428","Used 2014 Honda CR-V EX"
"1541787392-46","https://www.cars.com/vehicledetail/detail/754190854/overview/","null","New 2017 Chevrolet Tahoe 4WD"
"1541787495-95","https://www.cars.com/vehicledetail/detail/754190805/overview/","null","New 2017 GMC Yukon 4WD"
"1541787452-74","https://www.cars.com/vehicledetail/detail/754190826/overview/","2G1WA5EN7A1127755","Used 2010 Chevrolet Impala LS"
"1541787584-137","https://www.cars.com/vehicledetail/detail/754190763/overview/","2T3BK31V59W007999","Used 2009 Toyota RAV4 Base"
"1541787479-87","https://www.cars.com/vehicledetail/detail/754190813/overview/","null","New 2018 Chevrolet Traverse LT or RS, FWD"
"1541787508-101","https://www.cars.com/vehicledetail/detail/754190799/overview/","null","New 2017 GMC Yukon 4WD"
"1541787360-31","https://www.cars.com/vehicledetail/detail/754190869/overview/","2GNFLEEK6C6385642","Used 2012 Chevrolet Equinox 1LT"
"1541787481-88","https://www.cars.com/vehicledetail/detail/754190812/overview/","null","New 2018 Chevrolet Traverse LS FWD"
"1541787356-29","https://www.cars.com/vehicledetail/detail/754190871/overview/","5TFAZ5CN9KX074316","New 2019 Toyota Tacoma SR5"
"1541787323-13","https://www.cars.com/vehicledetail/detail/754190887/overview/","null","New 2017 Buick Regal GS FWD"
"1541787412-55","https://www.cars.com/vehicledetail/detail/754190845/overview/","null","New 2018 Honda CR-V EX"
"1541787575-133","https://www.cars.com/vehicledetail/detail/754190767/overview/","null","New 2017 GMC Acadia SLT1 AWD"
"1541787514-104","https://www.cars.com/vehicledetail/detail/754190796/overview/","1G5EK18L5GF523243","Used 1986 GMC Utility Wagon 4WD"
"1541787358-30","https://www.cars.com/vehicledetail/detail/754190870/overview/","1FTMF1EB9KFA13250","New 2019 Ford F-150"
"1541787379-40","https://www.cars.com/vehicledetail/detail/754190860/overview/","null","Used 2009 GMC Yukon Denali"
"1541787557-124","https://www.cars.com/vehicledetail/detail/754190776/overview/","null","New 2018 GMC Acadia Denali AWD"
"1541787330-16","https://www.cars.com/vehicledetail/detail/754190884/overview/","null","null"
"1541787422-60","https://www.cars.com/vehicledetail/detail/754190840/overview/","19XFB2F58FE293598","Used 2015 Honda Civic LX"
"1541787473-84","https://www.cars.com/vehicledetail/detail/754190816/overview/","3LN6L2JKXFR601756","Certified 2015 Lincoln MKZ Base"
"1541787579-135","https://www.cars.com/vehicledetail/detail/754190765/overview/","null","New 2018 Toyota RAV4 LE"
"1541787487-91","https://www.cars.com/vehicledetail/detail/754190809/overview/","null","New 2017 GMC Yukon XL 4WD"
"1541787344-23","https://www.cars.com/vehicledetail/detail/754190877/overview/","null","New 2018 Chevrolet Impala LTZ"
"1541787458-77","https://www.cars.com/vehicledetail/detail/754190823/overview/","1HGCV1F33JA269077","New 2018 Honda Accord Sport"
"1541787404-51","https://www.cars.com/vehicledetail/detail/754190849/overview/","null","New 2018 Chevrolet Traverse Premier or High Country, AWD"
"1541787549-120","https://www.cars.com/vehicledetail/detail/754190780/overview/","null","New 2018 Toyota Yaris iA Base"
"1541787382-41","https://www.cars.com/vehicledetail/detail/754190859/overview/","4S3BNAS69K3014286","New 2019 Subaru Legacy 2.5i Sport"
"1541787571-131","https://www.cars.com/vehicledetail/detail/754190769/overview/","2GNAXSEV8K6171810","New 2019 Chevrolet Equinox LS"
"1541787540-116","https://www.cars.com/vehicledetail/detail/754190784/overview/","null","New 2018 GMC Yukon 4WD"
"1541787328-15","https://www.cars.com/vehicledetail/detail/754190885/overview/","null","New 2018 Chevrolet Impala LS"
"1541787462-79","https://www.cars.com/vehicledetail/detail/754190821/overview/","5J6RW1H84JA004113","New 2018 Honda CR-V EX-L"
"1541787362-32","https://www.cars.com/vehicledetail/detail/754190868/overview/","1FTEW1EP1KFA13257","New 2019 Ford F-150"
"1541787493-94","https://www.cars.com/vehicledetail/detail/754190806/overview/","null","New 2017 GMC Yukon 4WD"
"1541787534-113","https://www.cars.com/vehicledetail/detail/754190787/overview/","null","New 2017 GMC Yukon 4WD"
"1541787567-129","https://www.cars.com/vehicledetail/detail/754190771/overview/","2GNAXHEV4K6171869","New 2019 Chevrolet Equinox LS"
"1541787468-82","https://www.cars.com/vehicledetail/detail/754190818/overview/","7FARW2H8XJE103221","New 2018 Honda CR-V EX-L"
"1541787441-69","https://www.cars.com/vehicledetail/detail/754190831/overview/","null","New 2017 GMC Yukon 2WD"
"1541787406-52","https://www.cars.com/vehicledetail/detail/754190848/overview/","5J6RW1H57JA001793","New 2018 Honda CR-V EX"
"1541787332-17","https://www.cars.com/vehicledetail/detail/754190883/overview/","null","null"
"1541787532-112","https://www.cars.com/vehicledetail/detail/754190788/overview/","null","New 2017 GMC Yukon 4WD"
"1541787386-43","https://www.cars.com/vehicledetail/detail/754190857/overview/","SALWR2EF6EA313475","Used 2014 Land Rover Range Rover Sport Supercharged"
"1541787498-96","https://www.cars.com/vehicledetail/detail/754190804/overview/","null","New 2019 Chevrolet Equinox LT"
"1541787401-50","https://www.cars.com/vehicledetail/detail/754190850/overview/","1G1PC5SH8B7244536","Used 2011 Chevrolet Cruze LS"
"1541787528-110","https://www.cars.com/vehicledetail/detail/754190790/overview/","2GNAXKEV8K6175338","New 2019 Chevrolet Equinox LT"
"1541787350-26","https://www.cars.com/vehicledetail/detail/754190874/overview/","WA1BNBFY9J2079817","Certified 2018 Audi Q5 Premium Plus"
"1541787456-76","https://www.cars.com/vehicledetail/detail/754190824/overview/","1C4PJMLX6KD355651","New 2019 Jeep Cherokee Latitude Plus"
"1541787512-103","https://www.cars.com/vehicledetail/detail/754190797/overview/","1GCRYDED8KZ174867","New 2019 Chevrolet Silverado 1500 LT"
"1541787416-57","https://www.cars.com/vehicledetail/detail/754190843/overview/","1HGCV1F33KA001079","New 2019 Honda Accord Sport"
"1541787573-132","https://www.cars.com/vehicledetail/detail/754190768/overview/","JTDZN3EU9GJ049515","Certified 2016 Toyota Prius v Three"
"1541787424-61","https://www.cars.com/vehicledetail/detail/754190839/overview/","5J6RW1H51JA003801","New 2018 Honda CR-V EX"
"1541787420-59","https://www.cars.com/vehicledetail/detail/754190841/overview/","null","New 2018 Chevrolet Traverse LT AWD"
"1541787569-130","https://www.cars.com/vehicledetail/detail/754190770/overview/","1GNEVFKW5KJ179149","New 2019 Chevrolet Traverse LS"
"1541787366-34","https://www.cars.com/vehicledetail/detail/754190866/overview/","null","New 2018 GMC Canyon SLT/Denali Crew Cab, Long Box"
"1541787483-89","https://www.cars.com/vehicledetail/detail/754190811/overview/","null","New 2018 GMC Yukon XL 4WD"
"1541787433-65","https://www.cars.com/vehicledetail/detail/754190835/overview/","null","New 2017 GMC Yukon 4WD"
"1541787399-49","https://www.cars.com/vehicledetail/detail/754190851/overview/","null","New 2017 Chevrolet Tahoe 2WD"
"1541787384-42","https://www.cars.com/vehicledetail/detail/754190858/overview/","null","New 2018 Chevrolet Tahoe 4WD"
"1541787502-98","https://www.cars.com/vehicledetail/detail/754190802/overview/","null","New 2017 GMC Yukon 4WD"
